protocol,eps,replaced,precision_before,recall_before,f1_before,precision_after,recall_after,f1_after,run_id
mqtt,0.018,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v5
mqtt,0.021,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v5
mqtt,0.024,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v5
mqtt,0.027,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v5
mqtt,0.03,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v5
mqtt,0.015,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v6
mqtt,0.018,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v6
mqtt,0.021,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v6
mqtt,0.024,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v6
mqtt,0.027,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v6
mqtt,0.03,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v6
modbus,0.015,12,0.9230769230769232,1.0,0.96,0.0,0.0,0.0,run_live_evasion_v8
modbus,0.018,12,0.9230769230769232,1.0,0.96,0.0,0.0,0.0,run_live_evasion_v8
modbus,0.021,12,0.9230769230769232,1.0,0.96,0.0,0.0,0.0,run_live_evasion_v8
modbus,0.024,12,0.9230769230769232,1.0,0.96,0.0,0.0,0.0,run_live_evasion_v8
modbus,0.027,12,0.9230769230769232,1.0,0.96,0.0,0.0,0.0,run_live_evasion_v8
modbus,0.03,12,0.9230769230769232,1.0,0.96,0.0,0.0,0.0,run_live_evasion_v8
modbus,0.015,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v9
modbus,0.018,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v9
modbus,0.021,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v9
modbus,0.024,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v9
modbus,0.027,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v9
modbus,0.03,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v9
